"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 08 01:21:44 GMT 2024","Fri Mar 08 01:21:44 GMT 2024","155","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Fri Mar 08 01:21:33 GMT 2024","Fri Mar 08 01:21:33 GMT 2024","610","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Fri Mar 08 01:21:53 GMT 2024","Fri Mar 08 01:21:53 GMT 2024","159","Contact management","Lists","","","","Delete a list",""
"passed","Fri Mar 08 01:21:36 GMT 2024","Fri Mar 08 01:21:37 GMT 2024","396","Sales CRM","Tasks","","","","Delete a task",""
"passed","Fri Mar 08 01:22:05 GMT 2024","Fri Mar 08 01:22:05 GMT 2024","148","Account","Corporate","","","","Create a new sub-account under a master account.","This endpoint will create a new sub-account under a master account"
"passed","Fri Mar 08 01:22:07 GMT 2024","Fri Mar 08 01:22:08 GMT 2024","249","Account","Senders","","","","Delete a sender",""
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:41 GMT 2024","189","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Mar 08 01:21:37 GMT 2024","Fri Mar 08 01:21:37 GMT 2024","464","Sales CRM","Tasks","","","","Update a task",""
"passed","Fri Mar 08 01:21:38 GMT 2024","Fri Mar 08 01:21:38 GMT 2024","228","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Mar 08 01:21:52 GMT 2024","Fri Mar 08 01:21:52 GMT 2024","167","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Mar 08 01:21:46 GMT 2024","Fri Mar 08 01:21:46 GMT 2024","220","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes","We recommend pinging this endpoint every minute for as long as the agent has to be considered online."
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","148","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Fri Mar 08 01:22:00 GMT 2024","Fri Mar 08 01:22:00 GMT 2024","183","Account","Webhooks","","","","Update a webhook",""
"passed","Fri Mar 08 01:21:59 GMT 2024","Fri Mar 08 01:21:59 GMT 2024","175","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.","This endpoint will retrieve inbound attachment with download token."
"passed","Fri Mar 08 01:21:40 GMT 2024","Fri Mar 08 01:21:40 GMT 2024","198","Marketing","Email Campaigns","","","","Update an email campaign",""
